,id,title,body,tags,answers,score
0,59652376,Can't install Pandas in PyCharm,"<p>I'm a total newbie with programming. To get startet a little I've tried to install Pandas in PyCharm with <code>pip install Pandas</code>. When I try to install it via the Terminal or the Settings I receive the following:</p>

<pre><code>  Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Could not find a version that satisfies the requirement pandas (from versions: )
No matching distribution found for pandas
</code></pre>

<p>As I have already installed Pandas for usage in the Jypiter Notebook the mac Terminal gives me the following when typing <code>pip install pandas</code>: </p>

<pre><code>Requirement already satisfied: pandas in ./opt/anaconda3/lib/python3.7/site-packages (0.25.1)
Requirement already satisfied: pytz&gt;=2017.2 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (2019.3)
Requirement already satisfied: python-dateutil&gt;=2.6.1 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (2.8.0)
Requirement already satisfied: numpy&gt;=1.13.3 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (1.17.2)
Requirement already satisfied: six&gt;=1.5 in ./opt/anaconda3/lib/python3.7/site-packages (from python-dateutil&gt;=2.6.1-&gt;pandas) (1.12.0)
Could not fetch URL https://pypi.org/simple/pip/: There was a problem confirming the ssl certificate: HTTPSConnectionPool(host='pypi.org', port=443): Max retries exceeded with url: /simple/pip/ (Caused by SSLError(SSLError(""bad handshake: SysCallError(-1, 'Unexpected EOF')""))) - skipping
</code></pre>

<p>Although it looks for me like Pandas is already installed on the computer (the anaconda3 in there troubles me), it is not working with PyCharm.
Im using Python 3.8 with PyCharm 2019.3 and my pip version is 19.0.3</p>

<p>I would be glad about any help, thanks a lot!</p>",python|pandas|pip|pycharm|package,"<p>try this please : 
 Pycharm(on your left upper corner) > preferences> Project > Project interpreter > +(plus sign)(the bottom of the table) >  type pandas > download </p>",2
1,59652376,Can't install Pandas in PyCharm,"<p>I'm a total newbie with programming. To get startet a little I've tried to install Pandas in PyCharm with <code>pip install Pandas</code>. When I try to install it via the Terminal or the Settings I receive the following:</p>

<pre><code>  Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Could not find a version that satisfies the requirement pandas (from versions: )
No matching distribution found for pandas
</code></pre>

<p>As I have already installed Pandas for usage in the Jypiter Notebook the mac Terminal gives me the following when typing <code>pip install pandas</code>: </p>

<pre><code>Requirement already satisfied: pandas in ./opt/anaconda3/lib/python3.7/site-packages (0.25.1)
Requirement already satisfied: pytz&gt;=2017.2 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (2019.3)
Requirement already satisfied: python-dateutil&gt;=2.6.1 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (2.8.0)
Requirement already satisfied: numpy&gt;=1.13.3 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (1.17.2)
Requirement already satisfied: six&gt;=1.5 in ./opt/anaconda3/lib/python3.7/site-packages (from python-dateutil&gt;=2.6.1-&gt;pandas) (1.12.0)
Could not fetch URL https://pypi.org/simple/pip/: There was a problem confirming the ssl certificate: HTTPSConnectionPool(host='pypi.org', port=443): Max retries exceeded with url: /simple/pip/ (Caused by SSLError(SSLError(""bad handshake: SysCallError(-1, 'Unexpected EOF')""))) - skipping
</code></pre>

<p>Although it looks for me like Pandas is already installed on the computer (the anaconda3 in there troubles me), it is not working with PyCharm.
Im using Python 3.8 with PyCharm 2019.3 and my pip version is 19.0.3</p>

<p>I would be glad about any help, thanks a lot!</p>",python|pandas|pip|pycharm|package,"<p>Not sure if this helps but I usually write a small python script in pycharm which imports pandas then in the script windows it will say ""pandas not installed"" then I just click on it and it install the library for me.</p>",-1
2,59652376,Can't install Pandas in PyCharm,"<p>I'm a total newbie with programming. To get startet a little I've tried to install Pandas in PyCharm with <code>pip install Pandas</code>. When I try to install it via the Terminal or the Settings I receive the following:</p>

<pre><code>  Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Could not find a version that satisfies the requirement pandas (from versions: )
No matching distribution found for pandas
</code></pre>

<p>As I have already installed Pandas for usage in the Jypiter Notebook the mac Terminal gives me the following when typing <code>pip install pandas</code>: </p>

<pre><code>Requirement already satisfied: pandas in ./opt/anaconda3/lib/python3.7/site-packages (0.25.1)
Requirement already satisfied: pytz&gt;=2017.2 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (2019.3)
Requirement already satisfied: python-dateutil&gt;=2.6.1 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (2.8.0)
Requirement already satisfied: numpy&gt;=1.13.3 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (1.17.2)
Requirement already satisfied: six&gt;=1.5 in ./opt/anaconda3/lib/python3.7/site-packages (from python-dateutil&gt;=2.6.1-&gt;pandas) (1.12.0)
Could not fetch URL https://pypi.org/simple/pip/: There was a problem confirming the ssl certificate: HTTPSConnectionPool(host='pypi.org', port=443): Max retries exceeded with url: /simple/pip/ (Caused by SSLError(SSLError(""bad handshake: SysCallError(-1, 'Unexpected EOF')""))) - skipping
</code></pre>

<p>Although it looks for me like Pandas is already installed on the computer (the anaconda3 in there troubles me), it is not working with PyCharm.
Im using Python 3.8 with PyCharm 2019.3 and my pip version is 19.0.3</p>

<p>I would be glad about any help, thanks a lot!</p>",python|pandas|pip|pycharm|package,"<p>IMHO, you need to install <code>openssl</code> with <code>homebrew</code>.</p>

<pre><code>brew install openssl
</code></pre>

<p>You can check this one: <a href=""https://stackoverflow.com/questions/50911641/errors-while-trying-to-install-pip-from-terminal/50912124"">Errors while trying to install pip from terminal</a></p>",0
3,59652376,Can't install Pandas in PyCharm,"<p>I'm a total newbie with programming. To get startet a little I've tried to install Pandas in PyCharm with <code>pip install Pandas</code>. When I try to install it via the Terminal or the Settings I receive the following:</p>

<pre><code>  Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', OSError(0, 'Error'))': /simple/pandas/
  Could not find a version that satisfies the requirement pandas (from versions: )
No matching distribution found for pandas
</code></pre>

<p>As I have already installed Pandas for usage in the Jypiter Notebook the mac Terminal gives me the following when typing <code>pip install pandas</code>: </p>

<pre><code>Requirement already satisfied: pandas in ./opt/anaconda3/lib/python3.7/site-packages (0.25.1)
Requirement already satisfied: pytz&gt;=2017.2 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (2019.3)
Requirement already satisfied: python-dateutil&gt;=2.6.1 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (2.8.0)
Requirement already satisfied: numpy&gt;=1.13.3 in ./opt/anaconda3/lib/python3.7/site-packages (from pandas) (1.17.2)
Requirement already satisfied: six&gt;=1.5 in ./opt/anaconda3/lib/python3.7/site-packages (from python-dateutil&gt;=2.6.1-&gt;pandas) (1.12.0)
Could not fetch URL https://pypi.org/simple/pip/: There was a problem confirming the ssl certificate: HTTPSConnectionPool(host='pypi.org', port=443): Max retries exceeded with url: /simple/pip/ (Caused by SSLError(SSLError(""bad handshake: SysCallError(-1, 'Unexpected EOF')""))) - skipping
</code></pre>

<p>Although it looks for me like Pandas is already installed on the computer (the anaconda3 in there troubles me), it is not working with PyCharm.
Im using Python 3.8 with PyCharm 2019.3 and my pip version is 19.0.3</p>

<p>I would be glad about any help, thanks a lot!</p>",python|pandas|pip|pycharm|package,"<p>I got the same error message.
I tried eveyrthing.
It turns out that Pycharm only has pandas and numpy for professional version. Please check if you use free community version, it does not support pandas or numpy</p>",-1
4,59498471,Python How to access class function variable,"<p>This was a <strong><em>Rock scissors paper</em></strong> game code ,its a <code>humanplayer</code> versus a <code>reflectplayer</code>. <code>Reflectplayer</code> who  copy the last time <code>humanplayer</code> move and show the move. I tried to access the <code>move2</code> from the <code>play_round</code> to <code>ReflectPlayer</code> . But How? Isn't <code>game1.play_round.move2</code> work?</p>

<pre><code>import random

moves = ['rock', 'paper', 'scissors']

class Player:
    def move(self):
        return 'rock'

    def learn(self, my_move, their_move):
        pass

class RandomPlayer:
    def move(self):
        all = [""rock"",""scissors"",""paper""]
        ranint = random.randint(0,2)
        return all[ranint]

    def learn(self, my_move, their_move):
        pass

class HumanPlayer:
    def move(self):
        ans = input(""Rock Paper or Scissors?"").lower()
        return ans

    def learn(self,my_move,their_move):
        pass

class ReflectPlayer:
    def move(self):
        i = 1
        RSP = [""rock"",""paper"",""scissors""]

        print(self.move2)   
        if i == 1:
            i += 1
            return RSP[random.randint(0,2)]
        elif game1.play_round.move2 == RSP[0]:
            return RSP[0]
        elif game1.play_round.move2 == RSP[1]:
            return RSP[1]
        elif game1.play_round.move2 == RSP[2]:
            return RSP[2]
        else:
            print(""Wrong input !"")
            pass
    def learn(self,my_move,their_move):
        pass



def beats(one, two):
    return ((one == 'rock' and two == 'scissors') or
            (one == 'scissors' and two == 'paper') or
            (one == 'paper' and two == 'rock'))


class Game:
    def __init__(self, p1, p2):
        self.p1 = p1
        self.p2 = p2

    def play_round(self):
        move1 = self.p1.move()
        move2 = self.p2.move()
        print(f""Player 1: {move1}  Player 2: {move2}"")
        if beats(move1 , move2) == True:
            print(f""This Round  : Player 1 WIN"")
        elif beats(move2 , move1) == True:
               print(f""This Round  : Player 2 WIN"")
        elif move1 == move2:
               print(""This Round : TIE"")    
        else:
            print(""Wrong Input !"")
        self.p1.learn(move1, move2)
        self.p2.learn(move2, move1)

    def play_game(self):
        print(""Game start!"")
        for round in range(3):
            print(f""Round {round}:"")
            self.play_round()
        print(""Game over!"")

if __name__ == '__main__':
    game1 = Game(ReflectPlayer(),HumanPlayer())
    game1.play_game()
</code></pre>",python|class|variables,"<p>Consider changing your implementation to pass the last moves played to the move() method. If your player needs to use the previous moves then you can access them easily. If not just discard them. I am assuming that you will have other types of players that can benefit from this.</p>

<pre><code>rsp = ['rock', 'paper', 'scissors']

class ReflectPlayer:

    def move(self, lastOpponentMove):
        if lastOpponentMove == None:
            return rsp[random.randint(0,2)]
        elif lastOpponentMove == rsp[0]:
            return rsp[0]
        elif lastOpponentMove == rsp[1]:
            return rsp[1]
        elif lastOpponentMove == rsp[2]:
            return rsp[2]
        else:
            print(""Wrong input !"")
            pass
    def learn(self,my_move,their_move):
        pass
</code></pre>

<p>Possible adaption on the Game class:</p>

<pre><code>class Game:
    def __init__(self, p1, p2):
        self.p1 = p1
        self.p2 = p2
        self.lastP1Move = None
        self.lastP2Move = None

    def play_round(self):
        move1 = self.p1.move(lastP2Move)
        move2 = self.p2.move(lastP1Move)

        lastP1Move = move1
        lastP2Move = move2

        print(f""Player 1: {move1}  Player 2: {move2}"")
        if beats(move1 , move2) == True:
            print(f""This Round  : Player 1 WIN"")
        elif beats(move2 , move1) == True:
            print(f""This Round  : Player 2 WIN"")
        elif move1 == move2:
            print(""This Round : TIE"")    
        else:
            print(""Wrong Input !"")
        self.p1.learn(move1, move2)
        self.p2.learn(move2, move1)
</code></pre>

<p>Some notes:</p>

<ul>
<li>You defined rsp as global in the beginning so you can use that list instead of creating new ones.</li>
<li>The way you implemented the check to see if it was the first play would make it so that i would be 1 everytime. (I changed to see if you are receiving a None last move).</li>
<li>Check your indentation in the play_round method</li>
</ul>

<p>Hope this helps</p>",0
5,30291743,How do I deal with lines that are longer than the Curses window in Python?,"<p>I'd like my curses application to display the absolute path of the current file that it is working with as it iterates. These can get longer than the window, running into the next line. If the next file path is shorter, difference in length is not overwritten, leading to mangled strings. What is the best practice way of fixing this problem?</p>

<p>Edit: Python 3 sample code on Mac OS X</p>

<pre><code>from os import walk
import curses
from os import path

stdscr = curses.initscr()
curses.noecho()
for root, dirs, files in walk(""/Users""):
    for file in files:
        file_path = path.join(root, file)
        stdscr.addstr(0, 0, ""Scanning: {0}"".format(file_path))
        stdscr.clearok(1)
        stdscr.refresh()
</code></pre>",python|curses,"<p>Assuming you don't want to use a window, the simplest solution is:</p>

<ol>
<li>Use <a href=""https://docs.python.org/3/library/curses.html#curses.window.addnstr"" rel=""nofollow""><code>addnstr</code></a> instead of <code>addstr</code> to never write more characters than fit on the line, and</li>
<li>Use <a href=""https://docs.python.org/3/library/curses.html#curses.window.clrtoeol"" rel=""nofollow""><code>clrtoeol</code></a> to erase any leftover characters after the new path.</li>
</ol>

<p>For example:</p>

<pre><code>from scandir import walk
import curses
from os import path

try:
    stdscr = curses.initscr()
    curses.noecho()
    _, width = stdscr.getmaxyx()
    for root, dirs, files in walk(""/Users""):
        for file in files:
            file_path = path.join(root, file)
            stdscr.addnstr(0, 0, ""Scanning: {0}"".format(file_path), width-1)
            stdscr.clrtoeol()
            stdscr.clearok(1)
            stdscr.refresh()
finally:
    curses.endwin()
</code></pre>

<hr>

<p>If you want to do this by creating a larger-than-fullscreen window and clipping it to the terminal, read up on <a href=""https://docs.python.org/3/library/curses.html#curses.newpad"" rel=""nofollow""><code>newpad</code></a>. For a trivial case line this, it won't be any simpler, but for more complex cases it might be what you're looking for:</p>

<pre><code>from scandir import walk
import curses
from os import path

try:
    stdscr = curses.initscr()
    curses.noecho()
    height, width = stdscr.getmaxyx()
    win = curses.newpad(height, 16383)
    for root, dirs, files in walk(""/Users""):
        for file in files:
            file_path = path.join(root, file)
            win.addstr(0, 0, ""Scanning: {0}"".format(file_path))
            win.clrtoeol()
            win.clearok(1)
            win.refresh(0, 0, 0, 0, height-1, width-1)
finally:
    curses.endwin()
</code></pre>",2
6,30305788,"Implement pow(x,n)%d with integers only. (without making use of library functions)","<p>Basically I used the classic divide and conquer whenever the exponent is even and came up with this.</p>

<pre><code>int mymod(int a,int b){ //returns only positive value between 0 to b-1
    return a%b&lt;0 ? (a%b)+b : a%b;
}
int Solution::pow(int x, int n, int d) {
    if(n==0) return mymod(1,d);
    int result = 1;
    while(n&gt;0){
        if(n%2 == 1)
            result = mymod((result * x),d);
        n = n&gt;&gt;1; //dividing exponent by 2, if it's even. Divide and conquer whenever exponent is even
        x = mymod(x*x,d);
    }
    return result;
}
</code></pre>

<p>Now I'm using mymod function to calculate modulus, 'cuz normal modulus gave me a -ve result which wasn't in accordance with the test cases. I need to implement it with integers. There's one major thing to note here. Overflow situation. some test cases have large enough x, which when multiplied might overflow. 
 Here are some of the test cases this program should satisfy.</p>

<pre><code>X : 0
N : 0
D : 1
expected output: 0

X : -1
N : 1
D : 20
expected output: 19

X : 71045970
N : 41535484
D : 64735492
expected output: 20805472
</code></pre>

<p>The above code satisfies the first two test cases (TRIVIAL) but fails at the last test case. Python is also accepted by the OJ, I'll be needing a bit of an explanation in case of python. THANK YOU!! </p>",python|c++|algorithm|pow|divide-and-conquer,"<p>In the line</p>

<pre><code>result = mymod((result * x),d);
</code></pre>

<p>in <code>result * x</code> your both <code>result</code> and <code>x</code> can be as large as <code>d</code> (more precisely, <code>d-1</code>), so you need a data type that can hold integers as big as <code>d*d</code>. For your cases, this may be <code>long long int</code>.</p>

<p>Another approach will be not to use library <code>operator*</code> for <code>int</code>s, but implement a manual multiplication function with a similar divide and conquer approach using only additions. This way you will need a data type that can hold integers as big as <code>2d</code> only.</p>

<p>Also note that you do not need to call <code>mymod</code> each time in the main loop. You can call it only once before the loop to make <code>x</code> positive (<code>x=mymod(x,d)</code>), and then use just the <code>operator%</code>.</p>",0
7,30383070,All of a sudden str.decode('unicode_escape') stopped working [2.7.3],"<p>This snippet is taken from my recent python work. And it used to work just fine</p>

<pre><code>strr = ""What is th\u00e9 point?""
print strr.decode('unicode_escape')
</code></pre>

<p>But now it throws the unicode decoding error:</p>

<pre><code>Traceback (most recent call last):
  File ""C:\Users\Lenon\Documents\WorkDir\pyWork\ocrFinale\F1\tests.py"", line 49, in &lt;module&gt;
    print strr.decode('unicode_escape')
UnicodeEncodeError: 'ascii' codec can't encode character u'\xe9' in position 10: ordinal not in range(128)
</code></pre>

<p>What is the possible cause of this?</p>",python|unicode,"<p>You either have enabled unicode literals or have created a <em>Unicode</em> object by another means, by mistake.</p>

<p>The <code>strr</code> value is <em>already</em> a unicode object, so in order to decode the value Python first tries to <em>encode</em> to a byte string.</p>

<p>If you have an actual byte string your code works:</p>

<pre><code>&gt;&gt;&gt; strr = ""What is th\u00e9 point?""
&gt;&gt;&gt; strr.decode('unicode_escape')
u'What is th\xe9 point?'
</code></pre>

<p>but as soon as <code>strr</code> is in fact a Unicode object, you get the error as Python tries to <em>encode</em> the object using the default ASCII codec first:</p>

<pre><code>&gt;&gt;&gt; strr.decode('unicode_escape').decode('unicode_escape')
Traceback (most recent call last):
  File ""&lt;stdin&gt;"", line 1, in &lt;module&gt;
UnicodeEncodeError: 'ascii' codec can't encode character u'\xe9' in position 10: ordinal not in range(128)
</code></pre>

<p>It could be that you enabled <code>unicode_literals</code>, for example:</p>

<pre><code>&gt;&gt;&gt; from __future__ import unicode_literals
&gt;&gt;&gt; strr = ""What is th\u00e9 point?""
&gt;&gt;&gt; type(strr)
&lt;type 'unicode'&gt;
&gt;&gt;&gt; strr.decode('unicode_escape')
Traceback (most recent call last):
  File ""&lt;stdin&gt;"", line 1, in &lt;module&gt;
UnicodeEncodeError: 'ascii' codec can't encode character u'\xe9' in position 10: ordinal not in range(128)
</code></pre>",3
8,30579950,Grouping by 30 minutes space in Pandas,"<p>I have a sequence of one month of data and I wanted the average value at <code>00:00, 00:30, 01:00, ...23:30</code> for the whole month. If this were in an hourly basis I could simply do</p>

<pre><code>df.groupby(df.index.hour).mean()
</code></pre>

<p>but I have no idea how to do this for a 30 min period. I have tried random things like </p>

<pre><code>df.groupby(df.index.hour*df.index.minute).mean()
</code></pre>

<p>but none of them has worked. Can this be done in Pandas?</p>

<p>Thank you.</p>

<p><em>EDIT</em>
Sample data:</p>

<pre><code>2015-06-01 00:00:00     4.474450  137.007017
2015-06-01 00:30:00     5.661688  138.342549
2015-06-01 01:00:00     6.142984  139.469381
2015-06-01 01:30:00     6.245277  140.780341
2015-06-01 02:00:00     6.368909  141.464176
2015-06-01 02:30:00     6.535648  143.121590
...                          ...         ...
2015-06-04 21:30:00     6.380301  123.523559
2015-06-04 22:00:00     6.118872  124.649216
2015-06-04 22:30:00     6.554864  127.671638
2015-06-04 23:00:00     7.628708  129.960442
2015-06-04 23:30:00     8.082754  132.294248
2015-06-04 00:00:00     7.768733  132.960135
</code></pre>

<p>Note that the the data spans more than a day, but I am looking for the result in as a <code>24*2</code> length array. Since the <code>00:30</code> data will be the average of the data for all the days in that time and so on.</p>",python|pandas,"<p>Assuming you want the average value for each 30 min. period averaged over the month, try using <a href=""http://pandas.pydata.org/pandas-docs/dev/generated/pandas.DataFrame.resample.html"" rel=""nofollow"">resample</a> (in case your data is not already evenly spaced at 30 minute intervals), and then use groupby.</p>

<pre><code>df = pd.DataFrame(np.random.randn(5000), 
                  columns=['vals'],
                  index=pd.date_range(start=dt.datetime.now(), 
                  periods=5000,
                  freq='30T'))

df = df.resample('30Min')
&gt;&gt;&gt; df.groupby(lambda x: (x.year, x.month, x.hour, x.minute)).vals.mean()
(2015, 6, 0, 0)    -0.120642
(2015, 6, 0, 30)    0.172788
(2015, 6, 1, 0)     0.310861
(2015, 6, 1, 30)   -0.054615
(2015, 6, 2, 0)    -0.122372
(2015, 6, 2, 30)   -0.160935
(2015, 6, 3, 0)     0.290064
(2015, 6, 3, 30)    0.040233
(2015, 6, 4, 0)    -0.267994
(2015, 6, 4, 30)    0.032256
(2015, 6, 5, 0)    -0.240584
(2015, 6, 5, 30)   -0.095077
(2015, 6, 6, 0)    -0.145298
(2015, 6, 6, 30)    0.311680
(2015, 6, 7, 0)    -0.259130
...
(2015, 9, 16, 30)   -0.249618
(2015, 9, 17, 0)     0.000566
(2015, 9, 17, 30)    0.085121
(2015, 9, 18, 0)    -0.008067
(2015, 9, 18, 30)   -0.392995
(2015, 9, 19, 0)    -0.509947
(2015, 9, 19, 30)    0.117550
(2015, 9, 20, 0)     0.076988
(2015, 9, 20, 30)   -0.096187
(2015, 9, 21, 0)    -0.066262
(2015, 9, 21, 30)   -0.274175
(2015, 9, 22, 0)    -0.459320
(2015, 9, 22, 30)    0.685940
(2015, 9, 23, 0)    -0.050148
(2015, 9, 23, 30)    0.038874
Name: a, Length: 192, dtype: float64
</code></pre>

<p>And to view the monthly averages:</p>

<pre><code>df2 = df.reset_index()
df2['year'] = [c[0] for c in df2['index']]
df2['month'] = [c[1] for c in df2['index']]
df2['hour'] = [c[2] for c in df2['index']]
df2['minutes'] = [c[3] for c in df2['index']]

&gt;&gt;&gt; df2.pivot_table(values='vals', 
                    columns=['year', 'month'], 
                    index=['hour', 'minutes'], 
                    aggfunc=np.mean)

year              2015                              
month                6         7         8         9
hour minutes                                        
0    0       -0.120642  0.260686  0.320550  0.374241
     30       0.172788 -0.078378  0.092206  0.151341
1    0        0.310861 -0.210523 -0.005879 -0.162668
     30      -0.054615  0.069194 -0.026174  0.218007
2    0       -0.122372  0.036491  0.266133  0.050847
     30      -0.160935  0.191182  0.205710  0.183733
3    0        0.290064  0.062863  0.042098 -0.167724
     30       0.040233 -0.083346  0.248039  0.654488
4    0       -0.267994 -0.304616 -0.227858 -0.306729
     30       0.032256  0.036278 -0.350544  0.111284
5    0       -0.240584  0.177614  0.174180 -0.156598
     30      -0.095077  0.350684  0.430140  0.050188
6    0       -0.145298  0.260356  0.314880 -0.367434
     30       0.311680 -0.307146 -0.024851 -0.012917
7    0       -0.259130 -0.030620  0.027398 -0.050143
     30       0.283149 -0.465681  0.067154 -0.118537
8    0        0.108188 -0.034551  0.206411 -0.325447
     30      -0.069086 -0.074594 -0.081681  0.087789
9    0       -0.115867  0.257696 -0.056953 -0.000636
     30      -0.194631 -0.018209  0.097634  0.321195
10   0       -0.029710 -0.179173 -0.362098 -0.425820
     30       0.171463 -0.275286  0.124837  0.185941
11   0        0.027725  0.116209  0.397818  0.273722
     30       0.045747  0.113604  0.053537  0.130483
12   0        0.397945  0.106375  0.316335  0.487824
     30      -0.133603  0.352268  0.043338 -0.080617
13   0       -0.152457  0.005833 -0.024060 -0.484102
     30       0.023435 -0.243851 -0.190029 -0.155168
14   0       -0.029532  0.020272  0.299358 -0.158454
     30       0.250930 -0.157656  0.007717 -0.088050
15   0       -0.098546  0.282827 -0.185139 -0.119801
     30      -0.145674 -0.047190 -0.078103 -0.116217
16   0        0.164972  0.190326  0.156651 -0.559833
     30      -0.034718 -0.273184 -0.254462 -0.249618
17   0        0.133240  0.071170 -0.200580  0.000566
     30      -0.030369  0.007821 -0.298061  0.085121
18   0        0.184950  0.013328  0.196898 -0.008067
     30       0.049239 -0.050993  0.008094 -0.392995
19   0       -0.067991 -0.011393 -0.101014 -0.509947
     30      -0.219792  0.098113 -0.297009  0.117550
20   0        0.174875 -0.253166 -0.130623  0.076988
     30      -0.407662 -0.221100  0.172923 -0.096187
21   0        0.041020 -0.381691 -0.090805 -0.066262
     30      -0.163835 -0.158566 -0.466063 -0.274175
22   0       -0.039960  0.400497  0.028426 -0.459320
     30       0.023610 -0.097154 -0.010363  0.685940
23   0       -0.261549  0.010280  0.019144 -0.050148
     30      -0.008354 -0.451011 -0.012453  0.038874
</code></pre>",1
9,30579950,Grouping by 30 minutes space in Pandas,"<p>I have a sequence of one month of data and I wanted the average value at <code>00:00, 00:30, 01:00, ...23:30</code> for the whole month. If this were in an hourly basis I could simply do</p>

<pre><code>df.groupby(df.index.hour).mean()
</code></pre>

<p>but I have no idea how to do this for a 30 min period. I have tried random things like </p>

<pre><code>df.groupby(df.index.hour*df.index.minute).mean()
</code></pre>

<p>but none of them has worked. Can this be done in Pandas?</p>

<p>Thank you.</p>

<p><em>EDIT</em>
Sample data:</p>

<pre><code>2015-06-01 00:00:00     4.474450  137.007017
2015-06-01 00:30:00     5.661688  138.342549
2015-06-01 01:00:00     6.142984  139.469381
2015-06-01 01:30:00     6.245277  140.780341
2015-06-01 02:00:00     6.368909  141.464176
2015-06-01 02:30:00     6.535648  143.121590
...                          ...         ...
2015-06-04 21:30:00     6.380301  123.523559
2015-06-04 22:00:00     6.118872  124.649216
2015-06-04 22:30:00     6.554864  127.671638
2015-06-04 23:00:00     7.628708  129.960442
2015-06-04 23:30:00     8.082754  132.294248
2015-06-04 00:00:00     7.768733  132.960135
</code></pre>

<p>Note that the the data spans more than a day, but I am looking for the result in as a <code>24*2</code> length array. Since the <code>00:30</code> data will be the average of the data for all the days in that time and so on.</p>",python|pandas,"<p>IIUC I think you want the following:</p>

<pre><code>In [13]:
# load the data
t=""""""2015-06-01 00:00:00,4.474450,137.007017
2015-06-01 00:30:00,5.661688,138.342549
2015-06-01 01:00:00,6.142984,139.469381
2015-06-01 01:30:00,6.245277,140.780341
2015-06-01 02:00:00,6.368909,141.464176
2015-06-01 02:30:00,6.535648,143.121590
2015-06-04 21:30:00,6.380301,123.523559
2015-06-04 22:00:00,6.118872,124.649216
2015-06-04 22:30:00,6.554864,127.671638
2015-06-04 23:00:00,7.628708,129.960442
2015-06-04 23:30:00,8.082754,132.294248
2015-06-04 00:00:00,7.768733,132.960135""""""
df = pd.read_csv(io.StringIO(t), index_col=[0], parse_dates=[0], header=None)
df.columns = ['x','y']

In [14]:
# group on the hour and minute attribute of the index
df.groupby([df.index.hour, df.index.minute]).mean()
Out[14]:
              x           y
0  0   6.121592  134.983576
   30  5.661688  138.342549
1  0   6.142984  139.469381
   30  6.245277  140.780341
2  0   6.368909  141.464176
   30  6.535648  143.121590
21 30  6.380301  123.523559
22 0   6.118872  124.649216
   30  6.554864  127.671638
23 0   7.628708  129.960442
   30  8.082754  132.294248
</code></pre>

<p>So the above will group on the index hour and minute attribute of your index, so this gives you the mean for all days that have a value at <code>00:30</code>, <code>01:00</code> etc..</p>",6
